NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL ,
TIMES U," 1,876,216.00 "," 49,338,102.48 "," 301,021,685.57 "," 386,577,369.08 "," 48,075,663.40 "," 36,079,442.85 "," 310,453,323.95 "," 49,338,102.48 "," 670,735.32 "," 67,250,325.21 "," 42,477,940.00 ",
TOWER ," 231,276,962.00 "," 458,505,985.00 "," 4,547,108,918.00 "," 5,363,061,812.00 "," 179,346,083.00 "," 515,979,789.00 "," 4,060,112,530.00 "," 525,002,281.00 "," 45,805,059.00 "," 758,077,242.00 "," 135,265,454.00 ",
TRANS NATION," 26,205,939.73 "," 87,983,560.68 "," 2,480,053,752.14 "," 2,742,387,721.99 "," 177,409,791.69 "," 297,015,756.51 "," 2,112,005,935.64 "," 87,983,560.68 "," 33,635,228.62 "," 451,231,590.81 "," 3,042,514.62 ",
TRANS NATIONAL TIMES," 138,843,423.00 "," 136,778,921.34 "," 633,658,422.21 "," 1,122,734,279.54 "," 82,292,983.80 "," 131,084,898.83 "," 685,120,650.30 "," 275,622,344.34 "," 13,208,209.40 "," 180,023,349.58 "," 56,697,143.00 ",
TRANSCOUNTIES," 491,539.00 "," 71,384,833.31 "," 75,643,407.45 "," 148,540,005.44 "," 10,347,556.09 "," 30,730,818.08 "," 114,110,435.21 "," 71,384,833.31 "," 7,470,169.72 "," 19,678,724.31 "," 11,866,053.50 ",
TRANS-ELITE COUNTY," 75,441,053.00 "," 93,562,391.00 "," 397,911,591.00 "," 794,955,091.00 "," 25,475,725.00 "," 73,273,245.00 "," 592,369,429.00 "," 93,562,391.00 "," 27,840,122.00 "," 119,812,838.00 "," 15,703,992.00 ",
UCHONGAJI ," 429,960.00 "," 4,307,462.32 "," 50,604,511.47 "," 50,119,770.75 "," 5,613,008.60 "," 3,620,494.25 "," 41,946,617.96 "," 4,307,462.32 ","-7,605,741.77 "," 9,014,611.57 "," 11,326,690.25 ",
UFANISI DT," 2,160,258.00 "," 18,492,262.00 "," 149,533,514.00 "," 170,959,791.00 "," 14,302,131.00 "," 24,902,537.00 "," 136,958,705.00 "," 20,073,202.00 "," 5,562,327.00 "," 29,034,705.00 ", -   ,
UKRISTO NA UFANISI," 6,273,184.00 "," 8,159,735.07 "," 1,346,357,523.00 "," 1,344,495,994.46 "," 98,006,127.03 "," 150,154,216.87 "," 1,165,111,571.00 "," 8,159,735.07 "," 29,162,001.37 "," 176,709,543.00 "," 145,557,122.00 ",
UKULIMA," 229,656,427.20 "," 375,553,592.16 "," 7,820,694,722.70 "," 9,813,587,153.98 "," 460,372,536.04 "," 1,193,683,241.08 "," 7,309,714,649.78 "," 375,553,592.16 "," 520,995,007.26 "," 1,049,741,306.60 "," 214,074,427.69 ",
